ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
2253.T,bullish_engulfing,1,1302.0,1300.6364285504378,1285.7550048828125,1283.8900146484375,1302.0,0.0
2257.T,bullish_engulfing,1,228.0,227.8000030517578,226.1999969482422,226.10000610351562,228.0,0.0
2389.T,bullish_engulfing,1,16007999488.0,2012.0,1997.0,1995.0,16007999488.0,0.0
2540.T,bullish_engulfing,1,4045.0,4045.0,4040.0,4040.0,4045.0,0.0
2683.T,bullish_engulfing,1,1005.0,1001.0,1000.0,1000.0,1005.0,0.0
2789.T,bullish_engulfing,1,463.0,463.0,458.0,455.0,463.0,0.0
2934.T,bullish_engulfing,1,1467.0,1329.0,1320.0,1320.0,1467.0,0.0
3474.T,bullish_engulfing,1,552.0,551.0,549.0,549.0,552.0,0.0
3655.T,bullish_engulfing,1,7505573888.0,2693.0,2692.0,2692.0,7505573888.0,0.0
3807.T,bullish_engulfing,1,110.0,110.0,109.0,109.0,110.0,0.0
4563.T,bullish_engulfing,1,59.0,59.0,57.0,57.0,59.0,0.0
4657.T,bullish_engulfing,1,492.0,470.0,465.0,465.0,492.0,0.0
5341.T,bullish_engulfing,1,219.0,208.0,174.0,171.0,219.0,0.0
5997.T,bullish_engulfing,1,797.0,785.0,779.0,779.0,797.0,0.0
6334.T,bullish_engulfing,1,401.0,396.955,394.0,392.0,401.0,0.0
6406.T,bullish_engulfing,1,37097512960.0,37008490496.0,36969299968.0,36969299968.0,37097512960.0,0.0
6555.T,bullish_engulfing,1,435.0,422.0,403.0,403.0,435.0,0.0
6571.T,bullish_engulfing,1,1369.0,1357.0,1346.0,1346.0,1369.0,0.0
7073.T,bullish_engulfing,1,2336.0,2316.0,2240.0,2240.0,2336.0,0.0
7116.T,bullish_engulfing,1,178503888.0,176991152.0,176688608.0,176537328.0,178503888.0,0.0
7219.T,bullish_engulfing,1,2292.0,2278.0,2275.0,2275.0,2292.0,0.0
7357.T,bullish_engulfing,1,1510.0,1490.0,1481.0,1481.0,1510.0,0.0
7412.T,bullish_engulfing,1,640.0,625.0,610.0,610.0,640.0,0.0
7682.T,bullish_engulfing,1,4085.0,4085.0,4080.0,4080.0,4085.0,0.0
7850.T,bullish_engulfing,1,897.0,884.0,861.0,850.0,897.0,0.0
8945.T,bullish_engulfing,1,1209.0,1206.0,1190.0,1190.0,1209.0,0.0
9162.T,bullish_engulfing,1,264.0,260.0,255.0,255.0,264.0,0.0
9339.T,bullish_engulfing,1,1250.0,1240.0,1222.0,1222.0,1250.0,0.0
