ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
1429.T,bullish_engulfing,1,711.0,701.0,688.0,687.0,711.0,0.0
1479.T,bullish_engulfing,1,51400.0,47180.0,46960.0,46960.0,51400.0,0.0
1483.T,bullish_engulfing,1,3450.0,3421.0,3299.0,3299.0,3450.0,0.0
1484.T,bullish_engulfing,1,3444.0,3292.0,3285.0,3285.0,3444.0,0.0
1515.T,bullish_engulfing,1,2614.0,2606.0,2412.0,2402.0,2614.0,0.0
1617.T,bullish_engulfing,1,45630.0,45310.0,44810.0,44360.0,45630.0,0.0
1848.T,bullish_engulfing,1,590.0,576.0,571.0,571.0,590.0,0.0
1879.T,bullish_engulfing,1,2311.0,2000.0,1928.0,1928.0,2311.0,0.0
1926.T,bullish_engulfing,1,4090.0,3945.0,3840.0,3840.0,4090.0,0.0
2070.T,bullish_engulfing,1,14745.0,14425.0,14200.0,14040.0,14745.0,0.0
2108.T,bullish_engulfing,1,4315.0,4150.0,4025.0,3990.0,4315.0,0.0
2154.T,bullish_engulfing,1,1873.0,1809.0,1754.0,1748.0,1873.0,0.0
2179.T,bullish_engulfing,1,801.0,767.0,762.0,762.0,801.0,0.0
2270.T,bullish_engulfing,1,3385.0,3270.0,3160.0,3135.0,3385.0,0.0
2338.T,bullish_engulfing,1,206.0,133.0,102.0,102.0,206.0,0.0
2483.T,bullish_engulfing,1,2150.0,1809.0,1792.0,1782.0,2150.0,0.0
2503.T,bullish_engulfing,1,2753.0,2555.0,2479.5,2470.0,2753.0,0.0
2533.T,bullish_engulfing,1,499.0,439.0,418.0,418.0,499.0,0.0
2597.T,bullish_engulfing,1,1075.0,1071.0,1060.0,1060.0,1075.0,0.0
2653.T,bullish_engulfing,1,2827.0,2805.0,2795.0,2795.0,2827.0,0.0
2664.T,bullish_engulfing,1,3210.0,2998.0,2981.0,2981.0,3210.0,0.0
2668.T,bullish_engulfing,1,1270.0,1261.0,1245.0,1245.0,1270.0,0.0
2693.T,bullish_engulfing,1,520.0,255.0,246.0,246.0,520.0,0.0
2730.T,bullish_engulfing,1,2308.0,2172.0,2123.0,2114.0,2308.0,0.0
2788.T,bullish_engulfing,1,387.0,343.0,337.0,337.0,387.0,0.0
2792.T,bullish_engulfing,1,1476.0,1470.0,1459.0,1451.0,1476.0,0.0
2795.T,bullish_engulfing,1,918.0,899.0,897.0,897.0,918.0,0.0
2810.T,bullish_engulfing,1,3402.0,3070.0,3005.0,3004.0,3402.0,0.0
2820.T,bullish_engulfing,1,4500.0,4310.0,4130.0,4105.0,4500.0,0.0
2914.T,bullish_engulfing,1,6119.0,6067.0,5865.0,5818.0,6119.0,0.0
2937.T,bullish_engulfing,1,1704.0,1680.0,1655.0,1655.0,1704.0,0.0
3076.T,bullish_engulfing,1,2782.0,2750.0,2688.0,2685.0,2782.0,0.0
3121.T,bullish_engulfing,1,223.0,216.0,210.0,209.0,223.0,0.0
3185.T,bullish_engulfing,1,258.0,212.0,206.0,204.0,258.0,0.0
3201.T,bullish_engulfing,1,1888.0,1873.0,1785.0,1771.0,1888.0,0.0
3202.T,bullish_engulfing,1,134.0,128.0,125.0,125.0,134.0,0.0
3205.T,bullish_engulfing,1,788.0,710.0,691.0,690.0,788.0,0.0
3237.T,bullish_engulfing,1,70.0,66.0,65.0,65.0,70.0,0.0
3276.T,bullish_engulfing,1,1335.0,1325.0,1296.0,1296.0,1335.0,0.0
3352.T,bullish_engulfing,1,1702.0,1675.0,1659.0,1659.0,1702.0,0.0
3370.T,bullish_engulfing,1,517.0,451.0,448.0,448.0,517.0,0.0
3402.T,bullish_engulfing,1,1147.0,1139.0,1121.0,1118.5,1147.0,0.0
3407.T,bullish_engulfing,1,1750.5,1570.0,1535.0,1516.0,1750.5,0.0
3434.T,bullish_engulfing,1,1246.0,1243.0,1215.0,1210.0,1246.0,0.0
3551.T,bullish_engulfing,1,1363.0,1080.0,1034.0,1030.0,1363.0,0.0
3563.T,bullish_engulfing,1,10230.0,9650.0,9074.0,9050.0,10230.0,0.0
3628.T,bullish_engulfing,1,639.0,510.0,441.0,434.0,639.0,0.0
3632.T,bullish_engulfing,1,413.0,377.0,362.0,361.0,413.0,0.0
3673.T,bullish_engulfing,1,963.0,922.0,903.0,890.0,963.0,0.0
3683.T,bullish_engulfing,1,1072.0,988.0,975.0,975.0,1072.0,0.0
3708.T,bullish_engulfing,1,1758.0,1617.0,1589.0,1583.0,1758.0,0.0
3741.T,bullish_engulfing,1,4165.0,3020.0,3005.0,2991.0,4165.0,0.0
3753.T,bullish_engulfing,1,221.0,163.0,150.0,149.0,221.0,0.0
3769.T,bullish_engulfing,1,8585.0,8301.0,7780.0,7730.0,8585.0,0.0
3771.T,bullish_engulfing,1,1739.0,1717.0,1655.0,1655.0,1739.0,0.0
3788.T,bullish_engulfing,1,1973.0,1943.0,1907.0,1907.0,1973.0,0.0
3798.T,bullish_engulfing,1,504.0,503.0,495.0,495.0,504.0,0.0
3854.T,bullish_engulfing,1,2496.0,2401.0,2383.0,2365.0,2496.0,0.0
3907.T,bullish_engulfing,1,1935.0,682.0,582.0,579.0,1935.0,0.0
3914.T,bullish_engulfing,1,2646.0,2442.0,2383.0,2364.0,2646.0,0.0
3962.T,bullish_engulfing,1,960.0,947.0,902.0,901.0,960.0,0.0
3968.T,bullish_engulfing,1,569.0,525.0,524.0,524.0,569.0,0.0
3979.T,bullish_engulfing,1,422.0,366.0,339.0,339.0,422.0,0.0
3988.T,bullish_engulfing,1,548.0,548.0,545.0,545.0,548.0,0.0
3996.T,bullish_engulfing,1,217.0,217.0,216.0,215.0,217.0,0.0
4005.T,bullish_engulfing,1,593.4000244140625,520.0,509.6000061035156,509.5,593.4000244140625,0.0
4008.T,bullish_engulfing,1,1282.0,1225.0,1197.0,1190.0,1282.0,0.0
4011.T,bullish_engulfing,1,2303.0,2283.0,2208.0,2171.0,2303.0,0.0
4012.T,bullish_engulfing,1,1601.0,1547.0,1534.0,1533.0,1601.0,0.0
4040.T,bullish_engulfing,1,4110.0,3265.0,3055.0,3050.0,4110.0,0.0
4072.T,bullish_engulfing,1,2909.0,2900.0,2834.0,2834.0,2909.0,0.0
4098.T,bullish_engulfing,1,1264.0,1158.0,1028.0,1012.0,1264.0,0.0
4100.T,bullish_engulfing,1,1922.0,1390.0,1341.0,1337.0,1922.0,0.0
4208.T,bullish_engulfing,1,3036.0,2481.0,2366.5,2360.0,3036.0,0.0
4320.T,bullish_engulfing,1,1650.0,1230.0,1201.0,1195.0,1650.0,0.0
4341.T,bullish_engulfing,1,845.0,801.0,790.0,790.0,845.0,0.0
4376.T,bullish_engulfing,1,155.0,151.0,150.0,149.0,155.0,0.0
4377.T,bullish_engulfing,1,1904.0,1848.0,1828.0,1796.0,1904.0,0.0
4378.T,bullish_engulfing,1,461.0,457.0,453.0,451.0,461.0,0.0
4385.T,bullish_engulfing,1,4066.0,3778.0,3774.0,3769.0,4066.0,0.0
4398.T,bullish_engulfing,1,1266.0,1249.0,1230.0,1229.0,1266.0,0.0
4448.T,bullish_engulfing,1,287.0,279.0,273.0,273.0,287.0,0.0
4471.T,bullish_engulfing,1,5180.0,5040.0,4990.0,4940.0,5180.0,0.0
4493.T,bullish_engulfing,1,1719.0,1701.0,1567.0,1562.0,1719.0,0.0
4499.T,bullish_engulfing,1,3110.0,2743.0,2462.0,2462.0,3110.0,0.0
4543.T,bullish_engulfing,1,2334.5,2158.0,1997.0,1981.5,2334.5,0.0
4548.T,bullish_engulfing,1,789.0,740.0,702.0,702.0,789.0,0.0
4559.T,bullish_engulfing,1,2345.0,2220.0,2159.0,2155.0,2345.0,0.0
4565.T,bullish_engulfing,1,1058.0,992.0,971.0,967.0,1058.0,0.0
4611.T,bullish_engulfing,1,1272.0,1253.0,1232.0,1232.0,1272.0,0.0
