ticker,cross_month,ma9,ma24,latest_close
3358.T,2026-03,97.56,96.57,93.0
4829.T,2026-03,118.78,118.46,115.0
7238.T,2026-05,120.44,120.33,116.0
6444.T,2026-04,151.11,147.67,157.0
7494.T,2026-03,242.01,241.88,227.0
4720.T,2026-05,256.84,254.44,234.0
7183.T,2026-05,177.67,172.28,256.0
3776.T,2026-04,190.85,182.06,269.0
3423.T,2026-03,266.02,261.76,271.0
1447.T,2026-03,302.36,300.01,280.0
8207.T,2026-03,285.67,284.21,281.0
3796.T,2026-03,255.56,252.46,285.0
6428.T,2026-04,321.56,319.39,321.0
3607.T,2026-05,338.93,338.74,355.0
8887.T,2026-04,402.16,392.1,364.0
7883.T,2026-05,358.42,357.05,369.0
6325.T,2026-03,396.86,396.11,401.0
2445.T,2026-04,399.4,392.35,403.0
7256.T,2026-03,156.22,149.0,405.0
7217.T,2026-05,395.89,388.21,452.0
2876.T,2026-03,433.9,433.44,466.0
7625.T,2026-03,400.26,388.84,475.0
4657.T,2026-04,445.22,440.68,481.0
2139.T,2026-05,455.79,448.16,495.0
3986.T,2026-05,487.07,485.72,522.0
8617.T,2026-03,488.02,470.59,524.0
2170.T,2026-03,517.85,515.61,550.0
3041.T,2026-04,486.44,469.03,557.0
1994.T,2026-04,524.71,519.43,584.0
3160.T,2026-03,577.67,576.73,587.0
6218.T,2026-05,539.45,528.95,589.0
3634.T,2026-03,688.89,685.98,596.0
2215.T,2026-04,611.67,603.42,600.0
9656.T,2026-04,610.76,607.7,617.0
7774.T,2026-05,573.78,562.79,619.0
3710.T,2026-04,594.66,594.28,623.0
5932.T,2026-05,646.39,644.57,635.0
3628.T,2026-05,526.0,522.92,658.0
7561.T,2026-05,658.12,653.85,658.0
6771.T,2026-05,655.08,644.19,660.0
1699.T,2026-03,425.21,412.29,676.1
7868.T,2026-05,500.38,492.25,690.0
6958.T,2026-03,454.4,435.35,695.0
9218.T,2026-04,802.97,793.83,704.0
