ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
1551.T,bullish_engulfing,1,6905.0,6863.0,6724.0,6724.0,6905.0,0.0
1773.T,bullish_engulfing,1,80.0,79.0,66.0,66.0,80.0,0.0
1992.T,bullish_engulfing,2,2767.0810546875,2727.1337877513256,2721.287841796875,2717.3905146209286,2767.0810546875,0.0
2045.T,bullish_engulfing,1,20575.0,20410.0,19310.0,19250.0,20575.0,0.0
2186.T,bullish_engulfing,1,908.0,907.0,900.0,900.0,908.0,0.0
2195.T,bullish_engulfing,2,500.0,386.0,350.0,350.0,500.0,11.4
2251.T,bullish_engulfing,2,863.7000122070312,860.0999755859375,840.9000244140625,835.5,863.7000122070312,0.25
2300.T,bullish_engulfing,1,502.0,501.0,494.0,494.0,502.0,0.0
2376.T,bullish_engulfing,2,742.7057495117188,730.9167741331336,717.1629638671875,717.1629591845962,742.7057495117188,0.0
2388.T,bullish_engulfing,2,62.0,62.0,61.0,61.0,62.0,0.0
2389.T,bullish_engulfing,1,16007999488.0,2012.0,1997.0,1995.0,16007999488.0,0.0
2435.T,bullish_engulfing,2,211.34933471679688,210.38427934022707,206.52401733398438,204.59387652950198,211.34933471679688,3.15
2481.T,bullish_engulfing,1,696.0,696.0,695.0,688.0,696.0,0.0
2492.T,bullish_engulfing,2,465.0,450.0,403.0,396.0,465.0,0.0
2530.T,bullish_engulfing,1,17700.0,17400.0,16710.0,16675.0,17700.0,0.0
2683.T,bullish_engulfing,1,1005.0,1001.0,1000.0,1000.0,1005.0,0.0
2687.T,bullish_engulfing,1,517.0,506.0,487.0,487.0,517.0,0.0
2917.T,bullish_engulfing,1,934.0,911.0,906.0,906.0,934.0,0.0
2926.T,bullish_engulfing,1,103.0,99.0,97.0,96.0,103.0,0.0
2934.T,bullish_engulfing,1,1684.0,1329.0,1320.0,1320.0,1684.0,0.0
3058.T,bullish_engulfing,1,692.0,688.0,682.0,680.0,692.0,0.0
3174.T,bullish_engulfing,1,596.0,570.0,566.0,566.0,596.0,0.0
3196.T,bullish_engulfing,2,2031.0,1955.0,1952.0,1952.0,2031.0,0.0
3198.T,bullish_engulfing,2,2323.0,2205.272163970473,2172.476318359375,2160.0,2323.0,0.0
