ticker,cross_month,ma9,ma24,latest_close
6444.T,2026-04,151.11,147.67,171.0
4720.T,2026-05,257.51,254.69,240.0
3776.T,2026-04,190.85,182.06,260.0
6428.T,2026-04,321.56,319.39,319.0
8887.T,2026-04,394.07,384.21,341.0
7883.T,2026-05,358.42,357.05,369.0
3607.T,2026-05,341.04,339.53,374.0
2445.T,2026-04,399.4,392.35,395.0
4394.T,2026-05,393.07,392.75,416.0
4657.T,2026-04,445.22,440.68,479.0
2139.T,2026-05,455.68,448.12,494.0
3986.T,2026-05,486.96,485.68,521.0
3041.T,2026-04,486.44,469.03,576.0
1994.T,2026-04,524.71,519.43,580.0
6218.T,2026-05,540.45,529.33,598.0
9656.T,2026-04,610.76,607.7,599.0
2215.T,2026-04,611.67,603.42,603.0
3710.T,2026-04,594.66,594.28,614.0
7774.T,2026-05,574.67,563.12,627.0
5932.T,2026-05,635.43,632.73,636.0
3439.T,2026-04,644.89,642.2,680.0
7868.T,2026-05,500.71,492.38,693.0
9218.T,2026-04,802.97,793.83,701.0
3628.T,2026-05,531.78,525.08,710.0
7347.T,2026-04,799.11,798.43,725.0
1579.T,2026-05,533.13,379.66,742.0
6522.T,2026-04,559.44,518.08,788.0
4712.T,2026-05,743.29,738.26,806.0
1685.T,2026-05,561.28,545.72,816.0
9517.T,2026-04,733.97,723.19,820.0
9713.T,2026-04,941.14,941.03,905.0
1568.T,2026-05,773.3,591.02,923.4
9344.T,2026-04,901.11,889.03,948.0
4351.T,2026-05,889.64,879.71,984.0
9213.T,2026-05,901.48,894.01,1000.0
8289.T,2026-04,499.33,468.42,1006.0
1687.T,2026-05,922.56,916.06,1020.0
7983.T,2026-04,1229.28,1225.41,1052.0
3172.T,2026-05,1142.29,1136.23,1150.0
9519.T,2026-04,830.89,813.42,1223.0
7794.T,2026-04,784.44,775.5,1284.0
5659.T,2026-04,1190.14,1163.97,1413.0
3075.T,2026-04,1569.53,1563.91,1597.0
3558.T,2026-04,1580.35,1569.56,1686.0
9048.T,2026-04,1691.08,1674.01,1781.0
3907.T,2026-05,875.85,846.35,1797.0
4425.T,2026-05,1596.33,1473.58,1798.0
8008.T,2026-04,1744.53,1731.05,1830.0
3446.T,2026-04,1517.67,1449.58,1857.0
2154.T,2026-05,1803.75,1803.03,1884.0
6902.T,2026-04,2056.51,2048.62,1886.0
8088.T,2026-05,1806.73,1752.15,2038.0
7480.T,2026-05,1689.19,1684.42,2042.0
2790.T,2026-05,2097.59,2065.13,2097.0
4055.T,2026-04,1489.97,1488.65,2192.0
4027.T,2026-04,1433.75,1431.43,2334.0
5257.T,2026-05,2578.35,2574.59,2560.0
7976.T,2026-05,2271.02,2251.93,2613.0
1694.T,2026-04,2267.89,2226.71,2630.0
6363.T,2026-05,2407.96,2348.45,2755.0
4367.T,2026-05,2230.43,2199.9,2861.0
1407.T,2026-05,1909.5,1848.45,2936.0
3374.T,2026-04,2225.33,2205.59,3055.0
2204.T,2026-05,3082.82,3078.83,3100.0
7716.T,2026-04,2267.06,2236.49,3120.0
1878.T,2026-04,3162.65,3120.86,3208.0
7952.T,2026-05,2692.33,2678.8,3210.0
3436.T,2026-04,1621.86,1500.66,3348.0
9041.T,2026-05,3157.72,3150.06,3552.0
7637.T,2026-04,2313.76,2307.23,3665.0
7701.T,2026-05,3974.7,3974.68,3756.0
4523.T,2026-05,4610.62,4594.55,3901.0
2760.T,2026-05,3298.29,3161.76,4050.0
2644.T,2026-04,2754.42,2625.69,4055.0
9793.T,2026-04,3594.58,3566.95,4155.0
6723.T,2026-04,2240.29,2182.51,4306.0
7944.T,2026-04,3607.17,3523.47,4590.0
9706.T,2026-04,4825.84,4797.47,4757.0
2780.T,2026-04,3521.18,3480.08,5830.0
4967.T,2026-05,5518.68,5493.78,5832.0
6951.T,2026-04,5470.27,5324.61,6980.0
6506.T,2026-04,4322.85,4238.27,7136.0
4063.T,2026-04,5331.49,5210.11,7344.0
5310.T,2026-04,4986.13,4830.78,7390.0
6324.T,2026-04,3500.31,3480.78,7690.0
9285.T,2026-05,49976.41,49619.01,47950.0
6273.T,2026-05,60336.48,58692.29,67880.0
2033.T,2026-05,26121.11,19662.5,120000.0
