ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
1992.T,bullish_engulfing,2,2767.0810546875,2727.1337877513256,2721.287841796875,2717.3905146209286,2767.0810546875,2.53
2195.T,bullish_engulfing,2,500.0,386.0,350.0,350.0,500.0,12.0
2251.T,bullish_engulfing,2,863.7000122070312,860.0999755859375,840.9000244140625,835.5,863.7000122070312,0.59
2253.T,bullish_engulfing,1,1302.0,1300.6364285504378,1285.7550048828125,1283.8900146484375,1302.0,0.0
2257.T,bullish_engulfing,1,228.0,227.8000030517578,226.1999969482422,226.10000610351562,228.0,0.0
2376.T,bullish_engulfing,2,742.7057495117188,730.9167741331336,717.1629638671875,717.1629591845962,742.7057495117188,0.71
2388.T,bullish_engulfing,2,62.0,62.0,61.0,61.0,62.0,0.0
2389.T,bullish_engulfing,1,16007999488.0,2012.0,1997.0,1995.0,16007999488.0,0.0
2435.T,bullish_engulfing,2,211.34933471679688,210.38427934022707,206.52401733398438,204.59387652950198,211.34933471679688,4.09
2492.T,bullish_engulfing,2,465.0,450.0,403.0,396.0,465.0,1.29
2540.T,bullish_engulfing,1,4045.0,4045.0,4040.0,4040.0,4045.0,0.0
2683.T,bullish_engulfing,1,1005.0,1001.0,1000.0,1000.0,1005.0,0.0
2789.T,bullish_engulfing,1,463.0,463.0,458.0,455.0,463.0,0.0
2934.T,bullish_engulfing,1,1467.0,1329.0,1320.0,1320.0,1467.0,0.0
3196.T,bullish_engulfing,2,2031.0,1955.0,1952.0,1952.0,2031.0,0.59
3198.T,bullish_engulfing,2,2323.0,2205.272163970473,2172.476318359375,2160.0,2323.0,1.38
3387.T,bullish_engulfing,2,763.0,742.8202209058578,734.8436279296875,732.0,763.0,5.37
3415.T,bullish_engulfing,2,420.0,417.0,383.0,370.0,420.0,0.0
3474.T,bullish_engulfing,1,552.0,551.0,549.0,549.0,552.0,0.0
3655.T,bullish_engulfing,1,7505573888.0,2693.0,2692.0,2692.0,7505573888.0,0.0
3671.T,bullish_engulfing,2,342.0,340.0,336.0,322.0,342.0,3.51
3796.T,bullish_engulfing,2,272.8905029296875,257.7299301147461,249.4160614013672,249.41605106476817,272.8905029296875,5.54
3807.T,bullish_engulfing,1,110.0,110.0,109.0,109.0,110.0,0.0
3840.T,bullish_engulfing,2,67.0,63.0,56.0,56.0,67.0,0.0
3853.T,bullish_engulfing,2,1399.93896484375,1284.6030101974013,1245.8262939453125,1203.0725479125977,1399.93896484375,12.72
3902.T,bullish_engulfing,2,1683.0,1680.0,1679.0,1679.0,1683.0,0.0
3927.T,bullish_engulfing,2,1183.8392333984375,889.361695568971,880.4680786132812,851.8108674369391,1183.8392333984375,0.0
4025.T,bullish_engulfing,2,4250.0,3915.0,3900.0,3845.0,4250.0,6.12
4057.T,bullish_engulfing,2,407.0,404.0,403.0,403.0,407.0,0.0
4265.T,bullish_engulfing,2,384.0,310.0,275.0,266.0,384.0,0.26
4350.T,bullish_engulfing,2,534.0331420898438,521.1768047896549,515.2431030273438,515.2430870903863,534.0331420898438,2.62
4419.T,bullish_engulfing,2,952.0,876.0,872.0,842.0,952.0,5.57
4427.T,bullish_engulfing,2,268.0,258.0,216.0,212.0,268.0,0.0
4536.T,bullish_engulfing,2,1766.5159912109375,1741.287029507435,1729.9093017578125,1713.0901365341576,1766.5159912109375,3.34
4563.T,bullish_engulfing,1,59.0,59.0,57.0,57.0,59.0,0.0
4657.T,bullish_engulfing,1,492.0,470.0,465.0,465.0,492.0,0.0
4840.T,bullish_engulfing,2,688.0,487.0,466.0,459.0,688.0,40.99
5341.T,bullish_engulfing,1,219.0,208.0,174.0,171.0,219.0,0.0
5992.T,bullish_engulfing,2,3610.245361328125,3382.125475298883,3357.329833984375,3312.69766671317,3610.245361328125,2.9
5997.T,bullish_engulfing,1,797.0,785.0,779.0,779.0,797.0,0.0
6334.T,bullish_engulfing,1,401.0,396.955,394.0,392.0,401.0,0.0
6406.T,bullish_engulfing,1,37097512960.0,37008490496.0,36969299968.0,36969299968.0,37097512960.0,0.0
6555.T,bullish_engulfing,1,435.0,422.0,403.0,403.0,435.0,0.0
6571.T,bullish_engulfing,1,1369.0,1357.0,1346.0,1346.0,1369.0,0.0
6898.T,bullish_engulfing,2,3930.0,3630.0,3560.0,3545.0,3930.0,2.54
7066.T,bullish_engulfing,2,484.0,447.0,434.0,430.0,484.0,25.0
7073.T,bullish_engulfing,1,2336.0,2316.0,2240.0,2240.0,2336.0,0.0
7116.T,bullish_engulfing,1,178503888.0,176991152.0,176688608.0,176537328.0,178503888.0,0.0
7219.T,bullish_engulfing,1,2292.0,2278.0,2275.0,2275.0,2292.0,0.0
7250.T,bullish_engulfing,2,3015.0,3015.0,3010.0,3010.0,3015.0,0.17
7356.T,bullish_engulfing,2,154.0,147.0,142.0,142.0,154.0,0.0
7357.T,bullish_engulfing,1,1510.0,1490.0,1481.0,1481.0,1510.0,0.0
7376.T,bullish_engulfing,2,699.0,659.0,649.3333129882812,643.3333129882812,699.0,0.14
7412.T,bullish_engulfing,1,640.0,625.0,610.0,610.0,640.0,0.0
7682.T,bullish_engulfing,1,4085.0,4085.0,4080.0,4080.0,4085.0,0.0
7743.T,bullish_engulfing,2,591.4559936523438,564.1280293674906,553.3920288085938,534.8479942598752,591.4559936523438,3.3
7850.T,bullish_engulfing,1,897.0,884.0,861.0,850.0,897.0,0.0
8200.T,bullish_engulfing,2,2274.0,2263.042926177435,2241.1103515625,2225.0,2274.0,1.5
8945.T,bullish_engulfing,1,1209.0,1206.0,1190.0,1190.0,1209.0,0.0
9159.T,bullish_engulfing,2,2349.0,1727.0,1593.0,1592.0,2349.0,13.79
9162.T,bullish_engulfing,1,264.0,260.0,255.0,255.0,264.0,0.0
9257.T,bullish_engulfing,2,756.0,751.0,748.0,748.0,756.0,0.0
9339.T,bullish_engulfing,1,1250.0,1240.0,1222.0,1222.0,1250.0,0.0
9432.T,bullish_engulfing,2,154.5800018310547,154.0883378710892,150.74501037597656,149.9583380208166,154.5800018310547,2.08
9561.T,bullish_engulfing,2,480.0,459.0,441.0,425.0,480.0,1.25
9600.T,bullish_engulfing,2,7539753984.0,7539753984.0,7536753664.0,7536753664.0,7539753984.0,0.12
9605.T,bullish_engulfing,2,5870.3515625,5591.758727575231,5372.8642578125,5362.914393538135,5870.3515625,1.36
9776.T,bullish_engulfing,2,332559680.0,332559680.0,331034944.0,331034944.0,332559680.0,0.0
