ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
2300.T,bullish_engulfing,1,501.0,501.0,494.0,494.0,501.0,0.0
2389.T,bullish_engulfing,1,16007999488.0,2012.0,1997.0,1995.0,16007999488.0,0.0
2530.T,bullish_engulfing,1,17490.0,17400.0,16710.0,16675.0,17490.0,0.0
2560.T,bullish_engulfing,1,52000.0,52000.0,48860.0,48650.0,52000.0,0.0
2683.T,bullish_engulfing,1,1008.0,1001.0,1000.0,1000.0,1008.0,0.0
2789.T,bullish_engulfing,1,466.0,463.0,458.0,455.0,466.0,0.0
2926.T,bullish_engulfing,1,100.0,99.0,97.0,96.0,100.0,0.0
2934.T,bullish_engulfing,1,1563.0,1329.0,1320.0,1320.0,1563.0,0.0
2938.T,bullish_engulfing,1,1248.0,1222.0,1193.0,1191.0,1248.0,0.0
3080.T,bullish_engulfing,1,770.0,767.0,755.0,755.0,770.0,0.0
3121.T,bullish_engulfing,1,236.0,231.0,216.0,216.0,236.0,0.0
3174.T,bullish_engulfing,1,570.0,570.0,566.0,566.0,570.0,0.0
3248.T,bullish_engulfing,1,900.0,896.0,895.0,895.0,900.0,0.0
3474.T,bullish_engulfing,1,554.0,551.0,549.0,549.0,554.0,0.0
3655.T,bullish_engulfing,1,7505573888.0,2693.0,2692.0,2692.0,7505573888.0,0.0
3664.T,bullish_engulfing,1,40.0,34.0,32.0,32.0,40.0,0.0
3680.T,bullish_engulfing,1,226.0,220.0,213.0,213.0,226.0,0.0
3760.T,bullish_engulfing,1,665.0,661.0,639.0,636.0,665.0,0.0
3807.T,bullish_engulfing,1,110.0,110.0,109.0,109.0,110.0,0.0
3986.T,bullish_engulfing,1,515.0,508.0,502.0,500.0,515.0,0.0
4494.T,bullish_engulfing,1,763.0,748.0,724.0,724.0,763.0,0.0
4657.T,bullish_engulfing,1,487.0,470.0,465.0,465.0,487.0,0.0
4754.T,bullish_engulfing,1,1537.0,1537.0,1448.0,1448.0,1537.0,0.0
4777.T,bullish_engulfing,1,213.0,210.0,203.0,203.0,213.0,0.0
5254.T,bullish_engulfing,1,4350.0,4280.0,4075.0,4075.0,4350.0,0.0
5341.T,bullish_engulfing,1,303.0,208.0,174.0,171.0,303.0,0.0
5575.T,bullish_engulfing,1,626.0,611.0,601.0,601.0,626.0,0.0
5580.T,bullish_engulfing,1,1607.0,1600.0,1495.0,1481.0,1607.0,0.0
5997.T,bullish_engulfing,1,809.0,785.0,779.0,779.0,809.0,0.0
6029.T,bullish_engulfing,1,153.0,153.0,144.0,143.0,153.0,0.0
6334.T,bullish_engulfing,1,401.0,396.955,394.0,392.0,401.0,0.0
6406.T,bullish_engulfing,1,37097512960.0,37008490496.0,36969299968.0,36969299968.0,37097512960.0,0.0
6555.T,bullish_engulfing,1,456.0,422.0,403.0,403.0,456.0,0.0
7073.T,bullish_engulfing,1,2419.0,2316.0,2240.0,2240.0,2419.0,0.0
7116.T,bullish_engulfing,1,178503888.0,176991152.0,176688608.0,176537328.0,178503888.0,0.0
7219.T,bullish_engulfing,1,2310.0,2278.0,2275.0,2275.0,2310.0,0.0
7357.T,bullish_engulfing,1,1581.0,1490.0,1481.0,1481.0,1581.0,0.0
7360.T,bullish_engulfing,1,826.0,810.0,771.0,763.0,826.0,0.0
7412.T,bullish_engulfing,1,645.0,625.0,610.0,610.0,645.0,0.0
7636.T,bullish_engulfing,1,817.0,811.0,794.0,792.0,817.0,0.0
7682.T,bullish_engulfing,1,4110.0,4085.0,4080.0,4080.0,4110.0,0.0
7694.T,bullish_engulfing,1,642.0,636.0,544.0,541.0,642.0,0.0
8166.T,bullish_engulfing,1,81.0,81.0,80.0,80.0,81.0,0.0
8945.T,bullish_engulfing,1,1229.0,1206.0,1190.0,1190.0,1229.0,0.0
9012.T,bullish_engulfing,1,2162.0,2142.0,2137.0,2137.0,2162.0,0.0
9162.T,bullish_engulfing,1,262.0,260.0,255.0,255.0,262.0,0.0
9339.T,bullish_engulfing,1,1259.0,1240.0,1222.0,1222.0,1259.0,0.0
9946.T,bullish_engulfing,1,1902.0,1890.0,1827.0,1825.0,1902.0,0.0
