ticker,cross_month,ma9,ma24,latest_close
6140.T,2026-02,894.83,846.75,1305.0
6238.T,2026-01,1012.33,1008.82,1325.0
4008.T,2026-01,939.66,935.89,1327.0
6062.T,2026-06,1294.46,1267.63,1330.0
6568.T,2026-02,1132.63,1130.48,1333.0
7175.T,2026-03,1151.34,1127.87,1333.0
6395.T,2026-02,1084.94,1054.64,1343.0
6183.T,2026-02,1336.83,1316.99,1357.0
3950.T,2026-01,1173.56,1156.78,1360.0
7809.T,2025-12,1587.51,1584.25,1362.0
7508.T,2026-06,1346.07,1343.08,1363.0
3166.T,2025-12,1357.3,1351.56,1369.0
6919.T,2026-03,1393.01,1380.11,1376.0
6882.T,2026-03,911.05,909.43,1387.0
7613.T,2025-12,1221.52,1216.83,1387.0
6565.T,2025-12,1549.82,1544.63,1388.0
9130.T,2026-01,1048.83,1038.65,1391.0
1716.T,2026-03,1395.0,1390.89,1392.0
3168.T,2026-01,604.8,582.76,1393.0
2864.T,2026-03,1242.56,1237.23,1404.0
9119.T,2025-12,1137.01,1116.02,1406.0
7267.T,2025-12,1464.43,1463.11,1412.5
1898.T,2026-02,1518.42,1495.23,1428.0
1382.T,2026-01,1935.25,1920.17,1430.0
4102.T,2025-12,1324.3,1319.84,1430.0
3941.T,2026-01,959.11,924.58,1430.5
7004.T,2026-02,999.27,989.83,1435.0
3524.T,2026-01,1453.93,1434.95,1436.0
5391.T,2025-12,1184.66,1173.82,1439.0
7180.T,2025-12,826.68,824.24,1439.5
6905.T,2026-02,1151.63,1117.66,1440.0
3546.T,2025-12,1054.75,1045.56,1454.0
8303.T,2026-04,11993236141.18,4386025669.2,1460.0
6272.T,2026-01,1353.59,1347.98,1464.0
4956.T,2026-02,1252.87,1221.38,1467.0
9143.T,2026-02,1504.62,1482.97,1474.0
6298.T,2026-03,962.15,943.04,1475.0
9216.T,2026-03,1546.33,1534.03,1519.0
3431.T,2026-02,1885.96,1878.66,1522.0
7374.T,2026-01,1547.91,1530.11,1532.0
4937.T,2026-03,1384.44,1354.38,1543.0
1482.T,2025-12,1592.73,1591.27,1572.0
5659.T,2026-04,1190.14,1163.97,1572.0
7726.T,2026-06,1088.77,1056.82,1575.0
8141.T,2026-01,987.96,966.07,1580.0
3401.T,2026-02,1326.41,1296.98,1594.5
7366.T,2026-03,1278.51,1265.08,1602.0
5411.T,2026-03,1856.94,1820.2,1614.0
3075.T,2026-04,1569.53,1563.91,1615.0
9007.T,2025-12,1616.56,1603.2,1617.5
3021.T,2025-12,1338.51,1320.72,1618.0
2639.T,2026-02,1656.32,1643.16,1620.0
3558.T,2026-04,1580.35,1569.56,1620.0
7957.T,2026-01,1444.64,1442.28,1625.0
7780.T,2026-02,1364.77,1356.0,1626.0
5218.T,2026-05,1174.37,1174.37,1630.0
4887.T,2026-01,1962.1,1958.87,1638.0
7502.T,2026-04,1780.47,1778.01,1643.0
7458.T,2026-04,1629.43,1624.78,1650.5
9346.T,2026-01,1642.9,1625.92,1652.0
5702.T,2026-01,1072.52,1053.25,1660.0
9005.T,2025-12,1747.83,1744.81,1663.5
8771.T,2025-12,1586.08,1572.67,1679.0
5903.T,2026-04,1250.33,1243.85,1682.0
3902.T,2025-12,612.0,552.62,1684.0
1496.T,2025-12,1686.76,1682.97,1686.0
2937.T,2026-06,1673.62,1672.03,1687.0
4623.T,2026-02,1684.44,1679.71,1693.0
9165.T,2026-01,1432.06,1427.67,1694.0
4026.T,2026-03,1536.93,1533.65,1697.0
7730.T,2026-05,1526.2,1511.61,1712.0
8093.T,2025-12,1617.6,1613.68,1721.0
2818.T,2026-02,1728.88,1724.91,1728.0
2804.T,2025-12,1868.92,1848.03,1734.0
3984.T,2026-01,1931.64,1927.44,1735.0
6560.T,2026-01,2163.86,2156.57,1736.0
7537.T,2026-01,1143.48,1093.22,1742.0
5582.T,2026-02,2605.0,2580.25,1758.0
5423.T,2026-06,1567.3,1565.65,1761.0
6289.T,2026-02,1720.69,1662.37,1784.0
3446.T,2026-04,1517.67,1449.58,1792.0
9048.T,2026-04,1691.08,1674.01,1794.0
7434.T,2026-01,1780.38,1775.43,1818.0
2708.T,2025-12,1798.86,1796.98,1861.0
4425.T,2026-05,1600.0,1474.96,1863.0
4536.T,2025-12,1560.75,1553.42,1874.0
8088.T,2026-05,1804.28,1751.23,1877.0
4055.T,2026-04,1489.97,1488.65,1880.0
