ticker,cross_month,ma9,ma24,latest_close
7238.T,2026-05,120.44,120.33,116.0
6444.T,2026-04,151.11,147.67,157.0
4720.T,2026-05,256.84,254.44,234.0
7183.T,2026-05,177.67,172.28,256.0
3776.T,2026-04,190.85,182.06,269.0
6428.T,2026-04,321.56,319.39,321.0
3607.T,2026-05,338.93,338.74,355.0
8887.T,2026-04,402.16,392.1,364.0
7883.T,2026-05,358.42,357.05,369.0
2445.T,2026-04,399.4,392.35,403.0
7217.T,2026-05,395.89,388.21,452.0
4657.T,2026-04,445.22,440.68,481.0
2139.T,2026-05,455.79,448.16,495.0
3986.T,2026-05,487.07,485.72,522.0
3041.T,2026-04,486.44,469.03,557.0
1994.T,2026-04,524.71,519.43,584.0
6218.T,2026-05,539.45,528.95,589.0
2215.T,2026-04,611.67,603.42,600.0
9656.T,2026-04,610.76,607.7,617.0
7774.T,2026-05,573.78,562.79,619.0
3710.T,2026-04,594.66,594.28,623.0
5932.T,2026-05,646.39,644.57,635.0
3628.T,2026-05,526.0,522.92,658.0
7561.T,2026-05,658.12,653.85,658.0
6771.T,2026-05,655.08,644.19,660.0
7868.T,2026-05,500.38,492.25,690.0
9218.T,2026-04,802.97,793.83,704.0
1579.T,2026-05,529.76,378.4,711.6
3439.T,2026-04,644.89,642.2,717.0
3058.T,2026-05,689.0,688.42,720.0
7820.T,2026-04,798.41,797.69,724.0
7347.T,2026-04,799.11,798.43,735.0
4712.T,2026-05,742.62,738.01,800.0
7427.T,2026-05,892.5,886.93,846.0
4394.T,2026-05,797.08,795.3,858.0
1685.T,2026-05,566.29,547.6,861.1
9517.T,2026-04,733.97,723.19,884.0
9713.T,2026-04,941.14,941.03,910.0
1568.T,2026-05,772.57,590.74,916.8
5464.T,2026-04,952.51,942.35,933.0
9344.T,2026-04,901.11,889.03,938.0
4351.T,2026-05,887.64,878.96,966.0
5381.T,2026-04,628.31,594.88,973.0
6522.T,2026-04,559.44,518.08,982.0
7065.T,2026-05,882.56,880.67,996.0
8289.T,2026-04,499.33,468.42,1020.0
1687.T,2026-05,923.61,916.46,1029.5
9213.T,2026-05,907.82,896.38,1057.0
6730.T,2026-04,1177.04,1145.67,1077.0
7983.T,2026-04,1229.28,1225.41,1100.0
7794.T,2026-04,784.44,775.5,1118.0
7067.T,2026-05,1008.99,1006.33,1140.0
4974.T,2026-04,964.44,953.82,1143.0
3172.T,2026-05,1141.73,1136.02,1145.0
9903.T,2026-05,887.51,878.64,1164.0
2433.T,2026-05,1120.94,1117.63,1174.5
5142.T,2026-05,1345.94,1341.88,1230.0
5250.T,2026-05,1116.78,1109.65,1234.0
5659.T,2026-04,1190.14,1163.97,1411.0
7502.T,2026-04,1780.47,1778.01,1596.0
3075.T,2026-04,1569.53,1563.91,1597.0
5903.T,2026-04,1250.33,1243.85,1696.0
2937.T,2026-05,1691.6,1690.29,1723.0
7458.T,2026-04,1629.43,1624.78,1736.0
3446.T,2026-04,1517.67,1449.58,1772.0
8008.T,2026-04,1744.53,1731.05,1823.0
6902.T,2026-04,2056.51,2048.62,1834.5
9048.T,2026-04,1691.08,1674.01,1857.5
4027.T,2026-04,1433.75,1431.43,2030.0
7480.T,2026-05,1688.97,1684.33,2040.0
4425.T,2026-05,1628.11,1485.5,2084.0
8088.T,2026-05,1812.67,1754.38,2091.5
2790.T,2026-05,2104.81,2067.84,2162.0
3558.T,2026-04,1580.35,1569.56,2264.0
4055.T,2026-04,1489.97,1488.65,2294.0
7976.T,2026-05,2269.57,2251.39,2600.0
1694.T,2026-04,2267.89,2226.71,2616.5
7745.T,2026-04,2234.75,2167.96,2656.0
6363.T,2026-05,2414.41,2350.87,2813.0
4367.T,2026-05,2230.76,2200.02,2864.0
1407.T,2026-05,1904.5,1846.58,2891.0
6965.T,2026-05,1875.87,1779.66,2910.5
2229.T,2026-05,2929.37,2928.51,2973.0
3374.T,2026-04,2225.33,2205.59,3025.0
7716.T,2026-04,2267.06,2236.49,3045.0
2204.T,2026-05,3082.26,3078.62,3095.0
3436.T,2026-04,1621.86,1500.66,3177.0
1878.T,2026-04,3162.65,3120.86,3293.0
7637.T,2026-04,2313.76,2307.23,3325.0
6918.T,2026-05,2743.1,2694.93,3400.0
9041.T,2026-05,3156.61,3149.64,3542.0
7769.T,2026-05,3562.35,3512.91,3675.0
6266.T,2026-05,2534.93,2506.34,3810.0
2644.T,2026-04,2754.42,2625.69,3911.0
6723.T,2026-04,2240.29,2182.51,4044.0
4523.T,2026-05,4639.07,4605.21,4157.0
2760.T,2026-05,3317.74,3169.05,4225.0
9793.T,2026-04,3594.58,3566.95,4270.0
6391.T,2026-04,3820.43,3716.86,4445.0
7944.T,2026-04,3607.17,3523.47,4585.0
9706.T,2026-04,4825.84,4797.47,4908.0
2780.T,2026-04,3521.18,3480.08,5520.0
4967.T,2026-05,5521.23,5494.74,5855.0
6951.T,2026-04,5470.27,5324.61,6600.0
6324.T,2026-04,3500.31,3480.78,7010.0
4063.T,2026-04,5331.49,5210.11,7034.0
6506.T,2026-04,4322.85,4238.27,7052.0
5918.T,2026-04,7095.69,7013.2,7120.0
5310.T,2026-04,4986.13,4830.78,7630.0
6866.T,2026-04,6862.74,6820.33,12450.0
9285.T,2026-05,50170.85,49691.92,49700.0
6273.T,2026-05,60157.59,58625.2,66270.0
2033.T,2026-05,25287.78,19350.0,112500.0
