ticker,cross_month,ma9,ma24,latest_close
7238.T,2026-05,121.33,120.67,124.0
6444.T,2026-04,151.11,147.67,167.0
4720.T,2026-05,257.4,254.65,239.0
3776.T,2026-04,190.85,182.06,256.0
7183.T,2026-05,177.78,172.32,257.0
6428.T,2026-04,321.56,319.39,319.0
8887.T,2026-04,394.07,384.21,336.1
7883.T,2026-05,358.76,357.17,372.0
3607.T,2026-05,340.93,339.49,373.0
2445.T,2026-04,399.4,392.35,390.0
7217.T,2026-05,394.89,387.83,443.0
4657.T,2026-04,445.22,440.68,479.0
2139.T,2026-05,455.46,448.03,492.0
3986.T,2026-05,487.3,485.8,524.0
1994.T,2026-04,524.71,519.43,569.0
3041.T,2026-04,486.44,469.03,575.0
7868.T,2026-05,489.6,488.21,593.0
9656.T,2026-04,610.76,607.7,598.0
6218.T,2026-05,540.67,529.41,600.0
2215.T,2026-04,611.67,603.42,603.0
3710.T,2026-04,594.66,594.28,611.0
7774.T,2026-05,573.44,562.67,616.0
5932.T,2026-05,633.74,632.1,620.83
6771.T,2026-05,653.41,643.57,645.0
7561.T,2026-05,657.01,653.44,648.0
3439.T,2026-04,644.89,642.2,682.0
3628.T,2026-05,529.0,524.04,685.0
9218.T,2026-04,802.97,793.83,705.0
7820.T,2026-04,798.41,797.69,725.0
7347.T,2026-04,799.11,798.43,732.0
1579.T,2026-05,537.29,381.22,779.4
6522.T,2026-04,559.44,518.08,795.0
4712.T,2026-05,742.85,738.09,802.0
9517.T,2026-04,733.97,723.19,812.0
7427.T,2026-05,892.28,886.85,844.0
9713.T,2026-04,941.14,941.03,909.0
1568.T,2026-05,776.12,592.07,948.8
9344.T,2026-04,901.11,889.03,957.0
5464.T,2026-04,952.51,942.35,966.0
4351.T,2026-05,889.19,879.54,980.0
7065.T,2026-05,881.11,880.13,983.0
8289.T,2026-04,499.33,468.42,1031.0
9903.T,2026-05,873.62,873.43,1039.0
9213.T,2026-05,906.37,895.84,1044.0
5381.T,2026-04,628.31,594.88,1048.0
7983.T,2026-04,1229.28,1225.41,1060.0
4974.T,2026-04,964.44,953.82,1142.0
3172.T,2026-05,1142.18,1136.19,1149.0
7794.T,2026-04,784.44,775.5,1149.0
6730.T,2026-04,1177.04,1145.67,1190.0
5250.T,2026-05,1112.89,1108.19,1199.0
9519.T,2026-04,830.89,813.42,1203.0
5142.T,2026-05,1344.5,1341.34,1217.0
3907.T,2026-05,831.41,829.68,1397.0
5659.T,2026-04,1190.14,1163.97,1431.0
5218.T,2026-05,1174.37,1174.37,1550.0
3075.T,2026-04,1569.53,1563.91,1601.0
7502.T,2026-04,1780.47,1778.01,1618.0
7458.T,2026-04,1629.43,1624.78,1632.5
3558.T,2026-04,1580.35,1569.56,1664.0
5903.T,2026-04,1250.33,1243.85,1697.0
7730.T,2026-05,1526.2,1511.61,1752.0
9048.T,2026-04,1691.08,1674.01,1798.5
3446.T,2026-04,1517.67,1449.58,1805.0
8008.T,2026-04,1744.53,1731.05,1820.0
4425.T,2026-05,1600.0,1474.96,1831.0
6902.T,2026-04,2056.51,2048.62,1908.0
8088.T,2026-05,1804.28,1751.23,2016.0
7480.T,2026-05,1688.42,1684.13,2035.0
4055.T,2026-04,1489.97,1488.65,2069.0
2790.T,2026-05,2098.03,2065.3,2101.0
4027.T,2026-04,1433.75,1431.43,2392.0
5257.T,2026-05,2578.35,2574.59,2560.0
7976.T,2026-05,2272.13,2252.34,2623.0
1694.T,2026-04,2267.89,2226.71,2639.5
1407.T,2026-05,1882.72,1838.41,2695.0
6363.T,2026-05,2403.52,2346.79,2715.0
7745.T,2026-04,2234.75,2167.96,2801.0
6965.T,2026-05,1870.59,1777.68,2863.0
4367.T,2026-05,2244.76,2205.27,2990.0
7716.T,2026-04,2267.06,2236.49,3050.0
3374.T,2026-04,2225.33,2205.59,3055.0
2204.T,2026-05,3081.15,3078.2,3085.0
1878.T,2026-04,3162.65,3120.86,3172.0
7952.T,2026-05,2702.33,2682.55,3300.0
6918.T,2026-05,2756.99,2700.13,3525.0
9041.T,2026-05,3161.61,3151.52,3587.0
7769.T,2026-05,3561.79,3512.7,3670.0
6266.T,2026-05,2522.15,2501.54,3695.0
7701.T,2026-05,3976.81,3975.47,3775.0
7637.T,2026-04,2313.76,2307.23,3855.0
4523.T,2026-05,4619.85,4598.01,3984.0
3436.T,2026-04,1621.86,1500.66,3994.0
2760.T,2026-05,3296.63,3161.13,4035.0
9793.T,2026-04,3594.58,3566.95,4035.0
1697.T,2026-02,3943.78,3924.12,4080.0
2644.T,2026-04,2754.42,2625.69,4124.0
6391.T,2026-04,3820.43,3716.86,4270.0
6723.T,2026-04,2240.29,2182.51,4500.0
7944.T,2026-04,3607.17,3523.47,4570.0
9706.T,2026-04,4825.84,4797.47,4832.0
2780.T,2026-04,3521.18,3480.08,5710.0
4967.T,2026-05,5520.9,5494.62,5852.0
6951.T,2026-04,5470.27,5324.61,7114.0
5918.T,2026-04,7095.69,7013.2,7190.0
6506.T,2026-04,4322.85,4238.27,7208.0
5310.T,2026-04,4986.13,4830.78,7560.0
4063.T,2026-04,5331.49,5210.11,7758.0
6324.T,2026-04,3500.31,3480.78,7800.0
6866.T,2026-04,6862.74,6820.33,12200.0
9285.T,2026-05,50087.52,49660.67,48950.0
6273.T,2026-05,60473.15,58743.54,69110.0
