ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close
2404.T,bullish_engulfing,4,490.0,473.0,459.0,459.0,490.0
2410.T,bullish_engulfing,2,2569.0,2454.0,2447.0,2430.0,2569.0
2411.T,bullish_engulfing,3,474.0,470.0,465.0,465.0,474.0
2425.T,bullish_engulfing,3,814.0,803.0,791.0,791.0,814.0
2432.T,bullish_engulfing,2,2660.0,2538.0,2531.0,2525.0,2660.0
2435.T,bullish_engulfing,3,220.0,216.0,213.0,213.0,220.0
2438.T,bullish_engulfing,3,379.0,372.0,365.0,365.0,379.0
2454.T,bullish_engulfing,2,400.0,399.0,396.0,396.0,400.0
2481.T,bullish_engulfing,2,696.0,689.0,683.0,683.0,696.0
2489.T,bullish_engulfing,2,290.0,264.0,263.0,263.0,290.0
2497.T,bullish_engulfing,3,538.0,501.0,498.0,498.0,538.0
2516.T,bullish_engulfing,3,555.2999877929688,550.7999877929688,528.7999877929688,528.7999877929688,555.2999877929688
2531.T,bullish_engulfing,4,1607.0,1560.0,1501.0,1495.0,1607.0
2553.T,bullish_engulfing,4,2218.0,2120.5,2079.0,2050.5,2218.0
2554.T,bullish_engulfing,2,782.0999755859375,778.5,777.5,777.4000244140625,782.0999755859375
2560.T,bullish_engulfing,3,46920.0,45380.0,45350.0,45350.0,46920.0
2562.T,bullish_engulfing,4,3460.194580078125,3385.5784665088036,3372.64501953125,3366.675807643581,3460.194580078125
2586.T,bullish_engulfing,3,142.0,133.0,124.0,124.0,142.0
2597.T,bullish_engulfing,2,1070.0,1055.0,1037.0,1037.0,1070.0
2602.T,bullish_engulfing,3,5630.0,5320.0,5250.0,5250.0,5630.0
2623.T,bullish_engulfing,3,2008.0,2003.0,2000.0,2000.0,2008.0
2633.T,bullish_engulfing,1,497.1000061035156,496.6000061035156,496.1000061035156,492.8999938964844,497.1000061035156
2635.T,bullish_engulfing,3,4548.0869140625,4436.289266440764,4434.310546875,4434.310539227349,4548.0869140625
2636.T,bullish_engulfing,3,4252.0,4088.0,4056.0,4056.0,4252.0
2643.T,bullish_engulfing,4,3617.0,3575.0,3477.0,3477.0,3617.0
2648.T,bullish_engulfing,2,3575.0,3540.0,3502.0,3480.0,3575.0
2652.T,bullish_engulfing,3,347.0,345.0,341.0,341.0,347.0
2654.T,bullish_engulfing,3,399.0,391.0,389.0,389.0,399.0
2664.T,bullish_engulfing,3,3100.0,3025.0,3000.0,3000.0,3100.0
2683.T,bullish_engulfing,3,988.08935546875,987.0993224607414,986.1092529296875,986.1092164798347,988.08935546875
2695.T,bullish_engulfing,3,3405.0,3385.0,3250.0,3250.0,3405.0
2708.T,bullish_engulfing,2,2266.0,2176.0,2160.0,2153.0,2266.0
2734.T,bullish_engulfing,2,1222.0,1134.0,1107.0,1107.0,1222.0
2735.T,bullish_engulfing,4,635.7261962890625,628.8053953518121,618.9185180664062,618.9185052518711,635.7261962890625
2737.T,bullish_engulfing,2,14000.0,13230.0,11740.0,11740.0,14000.0
2750.T,bullish_engulfing,3,1322.0,1277.0,1254.0,1254.0,1322.0
