ticker,cross_month,ma9,ma24,latest_close
7238.T,2026-05,121.33,120.67,124.0
6444.T,2026-04,151.11,147.67,168.0
4720.T,2026-05,257.29,254.61,238.0
7183.T,2026-05,177.67,172.28,256.0
3776.T,2026-04,190.85,182.06,259.0
6428.T,2026-04,321.56,319.39,319.0
8887.T,2026-04,394.07,384.21,346.0
3607.T,2026-05,340.59,339.37,370.0
7883.T,2026-05,358.65,357.13,371.0
2445.T,2026-04,399.4,392.35,396.0
4394.T,2026-05,392.84,392.67,414.0
7217.T,2026-05,394.67,387.75,441.0
4657.T,2026-04,445.22,440.68,477.0
2139.T,2026-05,456.12,448.28,498.0
3986.T,2026-05,487.74,485.97,528.0
3041.T,2026-04,486.44,469.03,573.0
1994.T,2026-04,524.71,519.43,574.0
7868.T,2026-05,489.6,488.21,593.0
9656.T,2026-04,610.76,607.7,599.0
6218.T,2026-05,540.67,529.41,600.0
2215.T,2026-04,611.67,603.42,604.0
3710.T,2026-04,594.66,594.28,611.0
7774.T,2026-05,573.78,562.79,619.0
5932.T,2026-05,635.76,632.85,639.0
7561.T,2026-05,656.79,653.35,646.0
6771.T,2026-05,654.41,643.94,654.0
3439.T,2026-04,644.89,642.2,682.0
3628.T,2026-05,529.89,524.38,693.0
9218.T,2026-04,802.97,793.83,707.0
7347.T,2026-04,799.11,798.43,722.0
7820.T,2026-04,798.41,797.69,732.0
1579.T,2026-05,537.42,381.27,780.6
1685.T,2026-05,559.72,545.14,802.0
4712.T,2026-05,742.85,738.09,802.0
6522.T,2026-04,559.44,518.08,804.0
9517.T,2026-04,733.97,723.19,822.0
7427.T,2026-05,892.39,886.89,845.0
9713.T,2026-04,941.14,941.03,906.0
9344.T,2026-04,901.11,889.03,949.0
1568.T,2026-05,777.58,592.62,961.9
5464.T,2026-04,952.51,942.35,974.0
4351.T,2026-05,889.64,879.71,984.0
7065.T,2026-05,881.67,880.34,988.0
1687.T,2026-05,922.33,915.98,1018.0
9213.T,2026-05,903.6,894.8,1019.0
9903.T,2026-05,873.62,873.43,1039.0
8289.T,2026-04,499.33,468.42,1043.0
5381.T,2026-04,628.31,594.88,1052.0
7983.T,2026-04,1229.28,1225.41,1060.0
2433.T,2026-05,1116.0,1115.77,1130.0
7794.T,2026-04,784.44,775.5,1130.0
4974.T,2026-04,964.44,953.82,1143.0
3172.T,2026-05,1142.4,1136.27,1151.0
6730.T,2026-04,1177.04,1145.67,1190.0
5250.T,2026-05,1113.78,1108.53,1207.0
5142.T,2026-05,1345.83,1341.84,1229.0
9519.T,2026-04,830.89,813.42,1233.0
3907.T,2026-05,832.29,830.01,1405.0
5659.T,2026-04,1190.14,1163.97,1444.0
5218.T,2026-05,1177.48,1175.53,1578.0
3075.T,2026-04,1569.53,1563.91,1595.0
7502.T,2026-04,1780.47,1778.01,1618.0
7458.T,2026-04,1629.43,1624.78,1653.0
3558.T,2026-04,1580.35,1569.56,1684.0
5903.T,2026-04,1250.33,1243.85,1697.0
7730.T,2026-05,1527.76,1512.19,1766.0
9048.T,2026-04,1691.08,1674.01,1805.5
3446.T,2026-04,1517.67,1449.58,1811.0
8008.T,2026-04,1744.53,1731.05,1829.0
4425.T,2026-05,1603.11,1476.12,1859.0
2154.T,2026-05,1804.31,1803.24,1889.0
6902.T,2026-04,2056.51,2048.62,1918.0
7480.T,2026-05,1689.53,1684.54,2045.0
8088.T,2026-05,1807.61,1752.48,2046.0
4055.T,2026-04,1489.97,1488.65,2064.0
2790.T,2026-05,2098.15,2065.34,2102.0
4027.T,2026-04,1433.75,1431.43,2415.0
5257.T,2026-05,2578.69,2574.72,2563.0
1694.T,2026-04,2267.89,2226.71,2645.5
7976.T,2026-05,2275.02,2253.43,2649.0
6363.T,2026-05,2404.85,2347.29,2727.0
1407.T,2026-05,1890.94,1841.49,2769.0
7745.T,2026-04,2234.75,2167.96,2846.0
6965.T,2026-05,1875.26,1779.43,2905.0
4367.T,2026-05,2246.43,2205.9,3005.0
3374.T,2026-04,2225.33,2205.59,3080.0
7716.T,2026-04,2267.06,2236.49,3080.0
2204.T,2026-05,3083.93,3079.25,3110.0
1878.T,2026-04,3162.65,3120.86,3208.0
7952.T,2026-05,2704.0,2683.17,3315.0
6918.T,2026-05,2755.88,2699.72,3515.0
9041.T,2026-05,3161.83,3151.6,3589.0
7769.T,2026-05,3561.24,3512.49,3665.0
6266.T,2026-05,2527.15,2503.42,3740.0
7701.T,2026-05,3983.59,3978.01,3836.0
7637.T,2026-04,2313.76,2307.23,3890.0
4523.T,2026-05,4620.29,4598.17,3988.0
3436.T,2026-04,1621.86,1500.66,4028.0
2760.T,2026-05,3300.52,3162.59,4070.0
9793.T,2026-04,3594.58,3566.95,4095.0
2644.T,2026-04,2754.42,2625.69,4166.0
6391.T,2026-04,3820.43,3716.86,4370.0
6723.T,2026-04,2240.29,2182.51,4556.0
7944.T,2026-04,3607.17,3523.47,4600.0
9706.T,2026-04,4825.84,4797.47,4848.0
2780.T,2026-04,3521.18,3480.08,5690.0
4967.T,2026-05,5524.34,5495.91,5883.0
6951.T,2026-04,5470.27,5324.61,7168.0
5918.T,2026-04,7095.69,7013.2,7250.0
6506.T,2026-04,4322.85,4238.27,7269.0
5310.T,2026-04,4986.13,4830.78,7610.0
4063.T,2026-04,5331.49,5210.11,7780.0
6324.T,2026-04,3500.31,3480.78,7860.0
6866.T,2026-04,6862.74,6820.33,12340.0
9285.T,2026-05,50026.41,49637.76,48400.0
6273.T,2026-05,60552.03,58773.12,69820.0
2033.T,2026-05,27160.0,20052.08,129350.0
