ticker,cross_month,ma9,ma24,latest_close
7238.T,2026-05,120.89,120.5,120.0
6444.T,2026-04,151.11,147.67,161.0
3776.T,2026-04,190.85,182.06,250.0
4720.T,2026-05,258.62,255.11,250.0
7183.T,2026-05,177.67,172.28,256.0
6428.T,2026-04,321.56,319.39,326.0
8887.T,2026-04,402.16,392.1,365.0
7883.T,2026-05,359.41,358.03,371.0
2445.T,2026-04,399.4,392.35,425.0
7217.T,2026-05,394.55,387.71,440.0
4657.T,2026-04,445.22,440.68,467.0
2139.T,2026-05,456.35,448.37,500.0
3986.T,2026-05,487.63,485.93,527.0
3041.T,2026-04,486.44,469.03,543.0
6218.T,2026-05,537.34,528.16,570.0
1994.T,2026-04,524.71,519.43,576.0
2215.T,2026-04,611.67,603.42,600.0
3710.T,2026-04,594.66,594.28,609.0
9656.T,2026-04,610.76,607.7,617.0
7774.T,2026-05,574.22,562.96,623.0
7868.T,2026-05,494.04,489.88,633.0
5932.T,2026-05,647.72,645.07,647.0
7561.T,2026-05,659.46,654.35,670.0
1579.T,2026-05,525.42,376.77,672.6
6771.T,2026-05,657.19,644.99,679.0
9218.T,2026-04,802.97,793.83,700.0
3439.T,2026-04,644.89,642.2,721.0
7347.T,2026-04,799.11,798.43,734.0
7820.T,2026-04,798.41,797.69,765.0
6035.T,2026-05,772.11,771.33,792.0
4712.T,2026-05,742.74,738.05,801.0
1685.T,2026-05,565.87,547.45,857.3
7427.T,2026-05,894.61,887.73,865.0
4394.T,2026-05,798.63,795.89,872.0
9713.T,2026-04,942.02,941.98,903.0
1568.T,2026-05,771.72,590.42,909.2
9344.T,2026-04,901.11,889.03,927.0
5464.T,2026-04,952.51,942.35,949.0
9517.T,2026-04,733.97,723.19,967.0
9213.T,2026-05,901.04,893.84,996.0
8289.T,2026-04,499.33,468.42,1004.0
6522.T,2026-04,559.44,518.08,1012.0
5381.T,2026-04,628.31,594.88,1030.0
1687.T,2026-05,925.89,917.31,1050.0
6730.T,2026-04,1177.04,1145.67,1058.0
7065.T,2026-05,889.56,883.29,1059.0
7983.T,2026-04,1229.28,1225.41,1109.0
4974.T,2026-04,964.44,953.82,1143.0
7794.T,2026-04,784.44,775.5,1150.0
3172.T,2026-05,1142.62,1136.35,1153.0
5142.T,2026-05,1347.72,1342.55,1246.0
4351.T,2026-05,929.19,894.54,1340.0
9519.T,2026-04,830.89,813.42,1346.0
5659.T,2026-04,1190.14,1163.97,1359.0
3075.T,2026-04,1569.53,1563.91,1604.0
7502.T,2026-04,1780.47,1778.01,1628.0
7730.T,2026-05,1516.53,1507.98,1665.0
5903.T,2026-04,1250.33,1243.85,1696.0
7458.T,2026-04,1629.43,1624.78,1696.5
3446.T,2026-04,1517.67,1449.58,1751.0
8008.T,2026-04,1744.53,1731.05,1814.0
9048.T,2026-04,1691.08,1674.01,1817.5
6902.T,2026-04,2056.51,2048.62,1944.0
7480.T,2026-05,1683.19,1682.17,1988.0
4027.T,2026-04,1433.75,1431.43,2047.0
4055.T,2026-04,1489.97,1488.65,2055.0
3558.T,2026-04,1580.35,1569.56,2068.0
8088.T,2026-05,1815.06,1755.27,2113.0
2790.T,2026-05,2109.7,2069.67,2206.0
4425.T,2026-05,1663.67,1498.83,2404.0
7745.T,2026-04,2234.75,2167.96,2545.0
7976.T,2026-05,2265.02,2249.68,2559.0
1694.T,2026-04,2267.89,2226.71,2583.5
6965.T,2026-05,1847.7,1769.09,2657.0
3374.T,2026-04,2225.33,2205.59,2840.0
6363.T,2026-05,2418.08,2352.72,2841.0
7716.T,2026-04,2267.06,2236.49,2994.0
1407.T,2026-05,1917.17,1851.33,3005.0
4367.T,2026-05,2249.2,2206.94,3030.0
3436.T,2026-04,1621.86,1500.66,3090.0
7952.T,2026-05,2682.33,2675.05,3120.0
2204.T,2026-05,3087.26,3080.5,3140.0
7637.T,2026-04,2313.76,2307.23,3270.0
1878.T,2026-04,3162.65,3120.86,3457.0
6918.T,2026-05,2757.18,2700.82,3520.0
7769.T,2026-05,3568.47,3524.8,3620.0
9041.T,2026-05,3165.5,3152.98,3622.0
6723.T,2026-04,2240.29,2182.51,3647.0
2644.T,2026-04,2754.42,2625.69,3819.0
2760.T,2026-05,3308.85,3165.72,4145.0
9793.T,2026-04,3594.58,3566.95,4390.0
6391.T,2026-04,3820.43,3716.86,4500.0
7944.T,2026-04,3607.17,3523.47,4630.0
4523.T,2026-05,4701.96,4628.8,4723.0
2780.T,2026-04,3521.18,3480.08,4825.0
9706.T,2026-04,4825.84,4797.47,5037.0
4967.T,2026-05,5517.45,5493.33,5821.0
5310.T,2026-04,4986.13,4830.78,6680.0
6951.T,2026-04,5491.39,5347.02,6952.0
6506.T,2026-04,4322.85,4238.27,6987.0
6324.T,2026-04,3500.31,3480.78,7100.0
4063.T,2026-04,5331.49,5210.11,7105.0
5918.T,2026-04,7113.54,7032.2,7220.0
6866.T,2026-04,6862.74,6820.33,11640.0
9285.T,2026-05,50165.3,49689.84,49650.0
6273.T,2026-05,60336.48,58692.29,67880.0
2033.T,2026-05,24237.78,18956.25,103050.0
