ticker,cross_month,ma9,ma24,latest_close
3358.T,2026-03,97.56,96.57,102.0
4829.T,2026-03,118.78,118.46,111.0
6444.T,2026-04,151.0,147.62,173.0
3776.T,2026-04,188.74,181.27,227.0
7494.T,2026-03,242.01,241.88,235.0
3423.T,2026-03,266.02,261.76,271.0
8207.T,2026-03,285.67,284.21,286.0
1447.T,2026-03,302.36,300.01,304.0
3796.T,2026-03,252.73,249.66,319.0
6428.T,2026-04,321.56,319.39,327.0
7445.T,2026-02,300.44,296.0,333.0
8887.T,2026-04,403.27,392.52,388.0
2445.T,2026-04,399.51,392.39,393.0
6325.T,2026-03,396.86,396.11,404.0
7217.T,2026-04,388.76,388.65,424.0
7256.T,2026-03,156.22,149.0,455.0
7625.T,2026-03,400.26,388.84,456.0
2876.T,2026-03,433.9,433.44,460.0
4657.T,2026-04,445.11,440.63,475.0
2170.T,2026-03,517.85,515.61,525.0
1994.T,2026-04,524.93,519.51,557.0
8617.T,2026-03,488.02,470.59,560.0
3041.T,2026-04,489.56,470.2,568.0
3160.T,2026-03,577.67,576.73,597.0
2215.T,2026-04,611.67,603.42,598.0
6958.T,2026-03,454.4,435.35,609.0
9656.T,2026-04,610.87,607.74,618.0
1699.T,2026-03,425.21,412.29,621.4
3710.T,2026-04,597.44,595.32,635.0
3634.T,2026-03,688.89,685.98,678.0
3439.T,2026-04,644.45,642.03,741.0
9218.T,2026-04,802.97,793.83,747.0
6962.T,2026-03,574.63,573.83,755.0
9256.T,2026-03,803.91,801.44,777.0
6768.T,2026-03,568.68,559.09,784.0
6292.T,2026-03,782.54,770.58,787.0
7820.T,2026-04,798.08,797.57,789.0
7347.T,2026-04,804.22,800.35,799.0
7636.T,2026-03,816.67,809.55,800.0
3649.T,2026-03,857.02,842.23,810.0
1685.T,2026-04,561.51,545.81,818.1
6771.T,2026-04,651.3,649.34,834.0
3878.T,2026-03,771.57,764.07,870.0
7850.T,2026-03,863.93,860.69,888.0
9713.T,2026-04,944.35,942.86,919.0
9344.T,2026-04,902.56,889.57,921.0
5464.T,2026-04,952.84,942.48,940.0
9504.T,2026-03,925.59,903.78,940.3
7463.T,2026-03,829.95,818.29,955.0
9213.T,2026-04,896.63,895.48,965.0
6418.T,2026-03,1007.76,1002.43,971.0
9517.T,2026-04,731.86,722.4,991.0
6523.T,2026-03,1009.47,988.48,1000.0
1687.T,2026-04,921.44,915.65,1010.0
7261.T,2026-03,1078.15,1073.39,1024.0
9519.T,2026-04,825.11,811.25,1059.0
6882.T,2026-03,911.05,909.43,1062.0
9227.T,2026-03,779.56,756.75,1063.0
8289.T,2026-04,502.89,469.76,1069.0
7983.T,2026-04,1236.58,1231.51,1139.0
4974.T,2026-04,964.56,953.86,1143.0
6730.T,2026-04,1183.74,1153.35,1145.0
9993.T,2026-03,1151.36,1151.28,1154.0
6298.T,2026-03,962.15,943.04,1163.0
6522.T,2026-04,565.89,520.5,1199.0
5969.T,2026-03,1202.68,1199.16,1203.0
5381.T,2026-04,630.86,595.84,1206.0
7366.T,2026-03,1278.51,1265.08,1209.0
4926.T,2026-03,1214.65,1198.71,1210.0
4031.T,2026-03,1005.99,986.88,1237.0
4422.T,2026-03,251.15,244.32,1248.0
9339.T,2026-03,1294.0,1283.05,1253.0
4927.T,2026-03,1303.96,1300.31,1295.5
4937.T,2026-03,1384.44,1354.38,1300.0
1414.T,2026-03,1295.69,1276.67,1330.0
9214.T,2026-03,1441.89,1423.08,1360.0
2864.T,2026-03,1242.56,1237.23,1377.0
7175.T,2026-03,1151.34,1127.87,1405.0
7794.T,2026-04,793.44,778.88,1413.0
6919.T,2026-03,1393.01,1380.11,1424.0
2220.T,2026-03,1343.46,1342.89,1426.0
1716.T,2026-03,1395.0,1390.89,1434.0
