ticker,cross_month,ma9,ma24,latest_close
7238.T,2026-05,121.33,120.67,120.0
7810.T,2026-06,170.89,169.41,170.0
4720.T,2026-05,257.4,254.65,229.0
5010.T,2026-06,228.11,227.92,234.0
7183.T,2026-05,177.78,172.32,257.0
3607.T,2026-05,340.93,339.49,348.0
7883.T,2026-05,358.76,357.17,380.0
2195.T,2026-06,387.78,378.93,383.0
9268.T,2026-06,380.6,377.57,397.0
7217.T,2026-05,394.89,387.83,425.0
4572.T,2026-06,341.67,324.5,426.0
2139.T,2026-05,455.46,448.03,481.0
7868.T,2026-05,489.6,488.21,521.0
3986.T,2026-05,487.3,485.8,546.0
7213.T,2026-06,470.81,462.74,574.0
7774.T,2026-05,573.44,562.67,592.0
3628.T,2026-05,529.0,524.04,600.0
6218.T,2026-05,540.67,529.41,608.0
5932.T,2026-05,633.74,632.1,631.0
8104.T,2026-06,594.02,584.7,633.0
6771.T,2026-05,653.41,643.57,638.0
7561.T,2026-05,657.01,653.44,645.0
6035.T,2026-06,755.13,750.66,725.0
1579.T,2026-05,537.29,381.22,784.9
4712.T,2026-05,742.85,738.09,792.0
1685.T,2026-06,564.17,546.81,842.0
9330.T,2026-06,834.67,834.46,844.0
7427.T,2026-05,892.28,886.85,853.0
1568.T,2026-05,776.12,592.07,943.6
7065.T,2026-05,881.11,880.13,951.0
4351.T,2026-05,889.19,879.54,959.0
1687.T,2026-06,916.56,913.81,966.0
9846.T,2026-06,963.35,960.28,974.0
7067.T,2026-06,1003.4,1000.13,1038.0
9213.T,2026-05,906.37,895.84,1045.0
7951.T,2026-06,1098.14,1079.86,1097.0
5250.T,2026-05,1112.89,1108.19,1137.0
3172.T,2026-05,1142.18,1136.19,1148.0
7343.T,2026-06,1203.43,1200.7,1149.0
5142.T,2026-05,1344.5,1341.34,1187.0
9903.T,2026-05,873.62,873.43,1219.0
3907.T,2026-05,831.41,829.68,1235.0
6062.T,2026-06,1292.57,1266.92,1313.0
7508.T,2026-06,1343.41,1342.08,1339.0
6656.T,2026-06,738.67,725.08,1365.0
7726.T,2026-06,1069.66,1049.66,1403.0
2937.T,2026-06,1671.85,1671.36,1671.0
5218.T,2026-05,1174.37,1174.37,1682.0
4425.T,2026-05,1600.0,1474.96,1723.0
7730.T,2026-05,1526.2,1511.61,1737.0
4100.T,2026-06,1461.56,1399.25,1851.0
2154.T,2026-06,1809.19,1803.32,1863.0
2871.T,2026-06,1904.8,1898.33,1935.0
8088.T,2026-05,1804.28,1751.23,1954.0
2175.T,2026-06,1637.08,1596.25,2035.0
2790.T,2026-05,2098.03,2065.3,2083.0
5461.T,2026-06,2174.25,2147.48,2129.0
7480.T,2026-05,1688.42,1684.13,2146.0
5257.T,2026-05,2578.35,2574.59,2462.0
1407.T,2026-05,1882.72,1838.41,2478.0
7976.T,2026-05,2272.13,2252.34,2488.0
6363.T,2026-05,2403.52,2346.79,2719.0
2229.T,2026-06,2924.96,2919.87,2824.5
4367.T,2026-05,2244.76,2205.27,2854.0
6965.T,2026-05,1870.59,1777.68,2864.0
1695.T,2026-06,3003.11,2989.88,3002.0
2204.T,2026-05,3081.15,3078.2,3070.0
7952.T,2026-05,2702.33,2682.55,3140.0
6918.T,2026-05,2756.99,2700.13,3255.0
9041.T,2026-05,3161.61,3151.52,3597.0
7769.T,2026-05,3561.79,3512.7,3615.0
3687.T,2026-06,1898.67,1824.2,3635.0
4523.T,2026-05,4619.85,4598.01,3775.0
7734.T,2026-06,3377.88,3344.64,3785.0
7701.T,2026-05,3976.81,3975.47,3886.0
6266.T,2026-05,2522.15,2501.54,3895.0
4369.T,2026-06,3227.37,3161.91,3980.0
4928.T,2026-06,4493.33,4474.87,4205.0
2760.T,2026-05,3296.63,3161.13,4225.0
7433.T,2026-06,4129.89,4033.83,4575.0
4967.T,2026-05,5520.9,5494.62,5577.0
6645.T,2026-06,4816.05,4699.93,6162.0
9285.T,2026-05,50087.52,49660.67,48050.0
6273.T,2026-05,60473.15,58743.54,65260.0
6861.T,2026-06,63604.2,62295.83,78070.0
2033.T,2026-06,26954.44,19975.0,127500.0
